image_id,fold,for_validation
afs_011,B,False
afs_012,B,False
afs_013,B,False
afs_014,B,False
afs_015,B,False
afs_016,B,False
afs_017,B,False
afs_018,B,False
afs_019,B,False
afs_020,B,False
afs_021,B,False
afs_022,B,False
afs_023,B,False
afs_024,B,False
afs_025,B,False
afs_026,B,False
afs_027,B,False
afs_028,B,False
afs_029,B,False
afs_030,B,False
afs_031,B,False
afs_032,B,False
afs_033,B,False
afs_034,B,False
afs_035,B,False
afs_036,B,False
afs_037,B,False
afs_038,B,False
afs_039,B,False
afs_040,B,False
afs_041,B,False
afs_042,B,False
afs_043,B,False
afs_044,B,False
afs_045,B,False
afs_046,B,False
afs_047,B,False
afs_048,B,False
afs_049,B,False
afs_050,B,False
afs_051,B,False
afs_052,B,False
afs_053,B,False
afs_054,B,False
afs_055,B,False
afs_056,B,False
afs_057,B,False
afs_058,B,False
afs_059,B,False
afs_060,B,False
afs_061,B,False
afs_062,B,False
afs_063,B,False
afs_064,B,False
afs_065,B,False
afs_066,B,False
afs_067,B,False
afs_068,B,False
afs_069,B,False
afs_070,B,False
afs_071,B,False
afs_072,B,False
afs_073,B,False
afs_074,B,False
afs_075,B,False
afs_076,B,False
afs_077,B,False
afs_078,B,False
afs_079,B,False
afs_080,B,False
afs_081,B,False
afs_082,B,False
afs_083,B,False
afs_084,B,False
afs_085,B,False
afs_086,B,False
afs_087,B,False
afs_088,B,False
afs_089,B,False
afs_090,B,False
afs_091,B,False
afs_092,B,False
afs_093,B,False
afs_094,B,False
afs_095,B,False
afs_096,B,False
afs_097,B,False
afs_098,B,False
afs_099,B,False
afs_100,B,False
afs_101,B,False
afs_102,B,False
afs_103,B,False
afs_104,B,False
afs_105,B,False
afs_106,B,False
afs_107,B,False
afs_108,B,False
afs_109,B,False
afs_110,B,False
afs_111,B,False
afs_112,B,False
afs_113,B,False
afs_114,B,False
afs_115,B,False
afs_116,B,False
afs_117,B,False
afs_118,B,False
afs_119,B,False
afs_120,B,False
afs_121,B,False
afs_122,B,False
afs_123,B,False
afs_124,B,False
afs_125,B,False
afs_126,B,False
afs_127,B,False
afs_128,B,False
afs_129,B,False
afs_130,B,False
afs_131,B,False
afs_132,B,False
afs_133,B,False
afs_134,B,False
afs_135,B,False
afs_136,B,False
afs_137,B,False
afs_138,B,False
afs_139,B,False
afs_140,B,False
afs_141,B,False
afs_142,B,False
afs_143,B,False
afs_144,B,False
afs_145,B,False
afs_146,B,False
afs_147,B,False
afs_148,B,False
afs_149,B,False
afs_150,B,False
afs_151,B,False
afs_152,B,False
afs_153,B,False
afs_154,B,False
afs_155,B,False
afs_156,B,False
afs_157,B,False
afs_158,B,False
afs_159,B,False
afs_160,B,False
afs_161,B,False
afs_162,B,False
afs_163,B,False
afs_164,D,True
afs_165,D,True
afs_166,D,True
afs_167,D,True
afs_168,D,True
afs_169,D,True
afs_170,D,True
afs_171,D,True
afs_172,D,True
afs_173,D,True
afs_174,D,True
afs_175,D,True
afs_176,D,True
afs_177,D,True
afs_178,D,True
afs_179,D,True
afs_180,D,True
afs_181,D,True
afs_182,D,True
afs_183,D,True
afs_184,D,True
afs_185,D,True
afs_186,D,True
afs_187,D,True
afs_188,D,True
afs_189,D,True
afs_190,D,True
afs_191,D,True
afs_192,D,True
afs_193,D,True
afs_194,D,True
afs_195,D,True
afs_196,D,True
afs_197,D,True
afs_198,D,True
afs_199,D,True
afs_200,D,True
afs_201,D,True
afs_202,D,True
afs_203,D,True
afs_204,D,True
afs_205,D,True
afs_206,D,True
afs_207,D,True
afs_208,D,True
afs_209,D,True
afs_210,D,True
afs_211,D,True
afs_212,D,True
afs_213,D,True
afs_214,D,True
afs_215,D,True
afs_216,D,True
afs_217,D,True
afs_218,D,True
afs_219,D,True
afs_220,D,True
agb_000,,
agb_001,,
agb_002,,
agb_003,,
agb_004,,
agb_005,,
agb_006,,
agb_007,,
agb_008,,
agb_009,,
agb_010,,
agb_011,,
agb_012,,
agb_013,,
agb_014,,
agb_015,,
agb_016,,
agb_017,,
agb_018,,
agb_019,,
agb_020,,
agb_021,,
agb_022,,
agb_023,,
agb_024,,
agb_025,,
agb_026,,
agb_027,,
agb_028,,
agb_029,,
agb_030,,
agb_031,,
agb_032,,
agb_033,,
agb_034,,
agb_035,,
agb_036,,
agb_037,,
agb_038,,
agb_039,,
agb_040,,
agb_041,,
agb_042,,
agb_043,,
agb_044,,
agb_045,,
agb_046,,
agb_047,,
agb_048,,
agb_049,,
agb_050,,
agb_051,,
agb_052,,
agb_053,,
agb_054,,
agb_055,,
agb_056,,
agb_057,,
agb_058,,
agb_059,,
agb_060,,
agb_061,,
agb_062,,
agb_063,,
agb_064,,
agb_065,,
agb_066,,
agb_067,,
agb_068,,
agb_069,,
agb_070,,
agb_071,,
agb_072,,
agb_073,,
agb_074,,
agb_075,,
agb_076,,
agb_077,,
agb_078,,
agb_079,,
agb_080,,
agb_081,,
agb_082,,
agb_083,,
agb_084,,
agb_085,,
agb_086,,
agb_087,,
agb_088,,
agb_089,,
agb_090,,
agb_091,,
agb_092,,
agb_093,,
agb_094,,
agb_095,,
agb_096,,
agb_097,,
agb_098,,
agb_099,,
agb_100,,
agb_101,,
agb_102,,
agb_103,,
agb_104,,
agb_105,,
agb_106,,
agb_107,,
agb_108,,
agb_109,,
agb_110,,
agb_111,,
agb_112,,
agb_113,,
agb_114,,
agb_115,,
agb_116,,
agb_117,,
agb_118,,
agb_119,,
agb_120,,
agb_121,,
agb_122,,
agb_123,,
agb_124,,
agb_125,,
agb_126,,
agb_127,,
agb_128,,
agb_129,,
agb_130,,
agb_131,,
agb_132,,
agl_000,C,True
agl_001,C,True
agl_002,C,True
agl_003,C,True
agl_004,C,True
agl_005,C,True
agl_006,C,True
agl_007,C,True
agl_008,C,True
agl_009,C,True
agl_010,C,True
agl_011,C,True
agl_012,C,True
agl_013,C,True
agl_014,C,True
agl_015,C,True
agl_016,C,True
agl_017,C,True
agl_018,C,True
agl_019,C,True
agl_020,C,True
agl_021,C,True
agl_022,C,True
agl_023,C,True
agl_024,C,True
agl_025,C,True
agl_026,C,True
agl_027,C,True
agl_028,C,True
agl_029,C,True
agl_030,C,True
agl_031,C,True
agl_032,C,True
agl_033,C,True
agl_034,C,True
agl_035,C,True
agl_036,C,True
agl_037,C,True
agl_038,C,True
agl_039,C,True
agl_040,C,True
agl_041,C,True
agl_042,C,True
agl_043,C,True
agl_044,C,True
agl_045,C,True
agl_046,C,True
agl_047,C,True
agl_048,C,True
agl_049,C,True
agl_050,C,True
agl_051,C,True
agl_052,C,True
agl_053,C,True
agl_054,C,True
agl_055,C,True
agl_056,C,True
agl_057,C,True
agl_058,C,True
agl_059,C,True
agl_060,C,True
agl_061,C,True
agl_062,C,True
agl_063,C,True
agl_064,C,True
agl_065,C,True
agl_066,C,True
agl_067,C,True
agl_068,C,True
agl_069,C,True
agl_070,C,True
agl_071,C,True
agl_072,C,True
agl_073,C,True
agl_074,C,True
agl_075,C,True
agl_076,C,True
agl_077,C,True
agl_078,C,True
agl_079,C,True
agl_080,C,True
agl_081,C,True
agl_082,C,True
agl_083,C,True
agl_084,C,True
agl_085,C,True
agl_086,C,True
agl_087,C,True
agl_088,C,True
agl_089,C,True
agl_090,C,True
agl_091,C,True
agl_092,C,True
agl_093,C,True
agl_094,C,True
agl_095,C,True
agl_096,C,True
agl_097,C,True
agl_098,C,True
agl_099,C,True
agl_100,C,True
agl_101,C,True
agl_102,C,True
agl_103,C,True
agl_104,C,True
agl_105,C,True
agl_106,C,True
agl_107,C,True
agl_108,C,True
agl_109,C,True
agl_110,C,True
agl_111,C,True
agl_112,C,True
agl_113,C,True
agl_114,C,True
agl_115,C,True
agl_116,C,True
agl_117,C,True
agl_118,C,True
agl_119,C,True
agl_120,C,True
agl_121,C,True
agl_122,C,True
agl_123,C,True
agl_124,C,True
agl_125,C,True
agl_126,C,True
agl_127,C,True
agl_128,C,True
agl_129,C,
agl_130,C,
agl_131,C,
agl_132,C,
agl_133,C,
agl_134,C,
agl_135,C,
agl_136,C,
agl_137,C,
agl_138,C,
agl_139,C,
agl_140,C,
agl_141,C,
agl_142,C,
agl_143,C,
agl_144,C,
agl_145,C,
agl_146,C,
agl_147,C,
agl_148,C,
agl_149,C,
agl_150,C,
agl_151,C,
agl_152,C,
agl_153,C,
agl_154,C,
agl_155,C,
agl_156,C,
agl_157,C,
agl_158,C,
agl_159,C,
agl_160,C,
agl_161,C,
agl_162,C,
agl_163,C,
agl_164,C,
agl_165,C,
agl_166,C,
agl_167,C,
agl_168,C,
agl_169,C,
agl_170,C,
agl_171,C,
agl_172,C,
agl_173,C,
agl_174,C,
agl_175,C,
agl_176,C,
agl_177,C,
agl_178,C,
agl_179,C,
agl_180,C,
agl_181,C,
agl_182,C,
agl_183,C,
agl_184,C,
agl_185,C,
agl_186,C,
agl_187,C,
agl_188,C,
agl_189,C,
agl_190,C,
agl_191,C,
agl_192,C,
agl_193,C,
agl_194,C,
agl_195,C,
agl_196,C,
agl_197,C,
agl_198,C,
agl_199,C,
agl_200,C,
agl_201,C,
agl_202,C,
agl_203,C,
agl_204,C,
agl_205,C,
agl_206,C,
agl_207,C,
agl_208,C,
agl_209,C,
agl_210,C,
agl_211,C,
agl_212,C,
agl_213,C,
agl_214,C,
agl_215,C,
agl_216,C,
agl_217,C,
agl_218,C,
agl_219,C,
agl_220,C,
agl_221,C,
agl_222,C,
agl_223,C,
agl_224,C,
agl_225,C,
agl_226,C,
agl_227,C,
agl_228,C,
agl_229,C,
agl_230,C,
agl_231,C,
agl_232,C,
agl_233,C,
agl_234,C,
agl_235,C,
agl_236,C,
agl_237,C,
agl_238,C,
agl_239,C,
agl_240,C,
agl_241,C,
agl_242,C,
agl_243,C,
agl_244,C,
agl_245,C,
agl_246,C,
agl_247,C,
agl_248,C,
agl_249,C,
agl_250,C,
agl_251,C,
agl_252,C,
agl_253,C,
agl_254,C,
agl_255,C,
agl_256,C,
agl_257,C,
agl_258,C,
agl_259,C,
agl_260,C,
agl_261,C,
agl_262,C,
agl_263,C,
agl_264,C,
agl_265,C,
agl_266,C,
agl_267,C,
agl_268,C,
agl_269,C,
agl_270,C,
agl_271,C,
agl_272,C,
agl_273,C,
agl_274,C,
agl_275,C,
agl_276,C,
agl_277,C,
agl_278,C,
agl_279,C,
agl_280,C,
agl_281,C,
agl_282,C,
agl_283,C,
agl_284,C,
agl_285,C,
agl_286,C,
agl_287,C,
agl_288,C,
agl_289,C,
agl_290,C,
agl_291,C,
agl_292,C,
agl_293,C,
agl_294,C,
agl_295,C,
agl_296,C,
agl_297,C,
agl_298,C,
agl_299,C,
agl_300,C,
agl_301,C,
agl_302,C,
agl_303,C,
agl_304,C,
agl_305,C,
agl_306,C,
agl_307,C,
agl_308,C,
agl_309,C,
agl_310,C,
agl_311,C,
agl_312,C,
agl_313,C,
agl_314,C,
agl_315,C,
agl_316,C,
agl_317,C,
agl_318,C,
agl_319,C,
agl_320,C,
agl_321,C,
agl_322,C,
agl_323,C,
agl_324,C,
agl_325,C,
agl_326,C,
agl_327,C,
agl_328,C,
agl_329,C,
agl_330,C,
agl_331,C,
agl_332,C,
agl_333,C,
agl_334,C,
agl_335,C,
agl_336,C,
agl_337,C,
agl_338,C,
agl_339,C,
agl_340,C,
agl_341,C,
agl_342,C,
agl_343,C,
agl_344,C,
agl_345,C,
agl_346,C,
agl_347,C,
agl_348,C,
agl_349,C,
agl_350,C,
agl_351,C,
agl_352,C,
agl_353,C,
agl_354,C,
agl_355,C,
agl_356,C,
agl_357,C,
agl_358,C,
agl_359,C,
agl_360,C,
agl_361,C,
agl_362,C,
agl_363,C,
agl_364,C,
agl_365,C,
agl_366,C,
agl_367,C,
agl_368,C,
agl_369,C,
agl_370,C,
agl_371,C,
agl_372,C,
agl_373,C,
agl_374,C,
agl_375,C,
agl_376,C,
agl_377,C,
agl_378,C,
agl_379,C,
agl_380,C,
agl_381,C,
agl_382,C,
agl_383,C,
agl_384,C,
agl_385,C,
agl_386,C,
agl_387,C,
agl_388,C,
agl_389,C,
agl_390,C,
agl_391,C,
agl_392,C,
agl_393,C,
agl_394,C,
agl_395,C,
agl_396,C,
agl_397,C,
agl_398,C,
agl_399,C,
agl_400,C,
agl_401,C,
agl_402,C,
agl_403,C,
agl_404,C,
agl_405,C,
agl_406,C,
agl_407,C,
agl_408,C,
agl_409,C,
agl_410,C,
agl_411,C,
agl_412,C,
agl_413,C,
agl_414,C,
agl_415,C,
agl_416,C,
agl_417,C,
agl_418,C,
agl_419,C,
agl_420,C,
agl_421,C,
agl_422,C,
agl_423,C,
agl_424,C,
agl_425,C,
agl_426,C,
agl_427,C,
agl_428,C,
agl_429,C,
agl_430,C,
agl_431,C,
agl_432,C,
agl_433,C,
agl_434,C,
agl_435,C,
agl_436,C,
agl_437,C,
agl_438,C,
agl_439,C,
agl_440,C,
agl_441,C,
agl_442,C,
agl_443,C,
agl_444,C,
agl_445,C,
agl_446,C,
agl_447,C,
agl_448,C,
agl_449,C,
agl_450,C,
agl_451,C,
agl_452,C,
agl_453,C,
agl_454,C,
agp_000,,
agp_001,,
agp_002,,
agp_003,,
agp_004,,
agp_005,,
agp_006,,
agp_007,,
agp_008,,
agp_009,,
agp_010,,
agp_011,,
agp_012,,
agp_013,,
agp_014,,
agp_015,,
agp_016,,
agp_017,,
agp_018,,
agp_019,,
agp_020,,
agp_021,,
agp_022,,
agp_023,,
agp_024,,
agp_025,,
agp_026,,
agp_027,,
agp_028,,
agp_029,,
agp_030,,
agp_031,,
agp_032,,
agp_033,,
agp_034,,
agp_035,,
agp_036,,
agp_037,,
agp_038,,
agp_039,,
agp_040,,
agp_041,,
agp_042,,
agp_043,,
agp_044,,
agp_045,,
agp_046,,
agp_047,,
agp_048,,
agp_049,,
agp_050,,
agp_051,,
agp_052,,
agp_053,,
agp_054,,
agp_055,,
agp_056,,
agp_057,,
agp_058,,
agp_059,,
agp_060,,
aig_000,,
aig_001,,
aig_002,,
aig_003,,
aig_004,,
aig_005,,
aig_006,,
aig_007,,
aig_008,,
aig_009,,
aig_010,,
aig_011,,
aig_012,,
aig_013,,
aig_014,,
aig_015,,
aig_016,,
aig_017,,
aig_018,,
aig_019,,
aig_020,,
aig_021,,
aig_022,,
aig_023,,
aig_024,,
aig_025,,
aig_026,,
aig_027,,
aig_028,,
aig_029,,
aig_030,,
aig_031,,
aig_032,,
aig_033,,
aig_034,,
aig_035,,
aig_036,,
aig_037,,
aig_038,,
aig_039,,
aig_040,,
aig_041,,
aig_042,,
aig_043,,
aig_044,,
aig_045,,
aig_046,,
aig_047,,
aig_048,,
aig_049,,
aig_050,,
aig_051,,
aig_052,,
aig_053,,
aiz_000,,
aiz_001,,
aiz_002,,
aiz_003,,
aiz_004,,
aiz_005,,
aiz_006,,
aiz_007,,
aiz_008,,
aiz_009,,
aiz_010,,
aiz_011,,
aiz_012,,
aiz_013,,
aiz_014,,
aiz_015,,
aiz_016,,
aiz_017,,
aiz_018,,
aiz_019,,
aiz_020,,
aiz_021,,
aiz_022,,
aiz_023,,
aiz_024,,
aiz_025,,
aiz_026,,
aiz_027,,
aiz_028,,
aiz_029,,
aiz_030,,
aiz_031,,
aiz_032,,
aiz_033,,
aiz_034,,
aiz_035,,
aiz_036,,
aiz_037,,
aiz_038,,
aiz_039,,
aiz_040,,
aiz_041,,
aiz_042,,
aiz_043,,
aiz_044,,
aiz_045,,
aiz_046,,
aiz_047,,
aiz_048,,
aiz_049,,
aiz_050,,
aiz_051,,
aiz_052,,
aiz_053,,
aiz_054,,
aiz_055,,
aiz_056,,
aiz_057,,
aiz_058,,
aiz_059,,
aiz_060,,
aiz_061,,
aiz_062,,
aiz_063,,
aiz_064,,
aiz_065,,
aiz_066,,
aiz_067,,
aiz_068,,
aiz_069,,
aiz_070,,
aiz_071,,
aiz_072,,
aiz_073,,
aiz_074,,
aiz_075,,
aiz_076,,
aiz_077,,
aiz_078,,
aiz_079,,
aiz_080,,
aiz_081,,
aiz_082,,
aiz_083,,
aiz_084,,
aiz_085,,
aiz_086,,
aiz_087,,
aiz_088,,
aiz_089,,
aiz_090,,
aiz_091,,
aiz_092,,
aiz_093,,
aiz_094,,
aiz_095,,
aiz_096,,
aiz_097,,
aiz_098,,
aiz_099,,
aiz_100,,
aiz_101,,
aiz_102,,
aiz_103,,
aiz_104,,
aiz_105,,
aiz_106,,
aiz_107,,
aiz_108,,
aiz_109,,
aiz_110,,
aiz_111,,
aiz_112,,
aiz_113,,
aiz_114,,
aiz_115,,
aiz_116,,
aiz_117,,
aiz_118,,
aiz_119,,
aiz_120,,
aiz_121,,
aiz_122,,
aiz_123,,
aiz_124,,
aiz_125,,
aiz_126,,
aiz_127,,
aiz_128,,
aiz_129,,
aiz_130,,
aiz_131,,
aiz_132,,
aiz_133,,
aiz_134,,
aiz_135,,
aiz_136,,
aiz_137,,
aiz_138,,
aiz_139,,
aiz_140,,
aiz_141,,
aiz_142,,
aiz_143,,
aiz_144,,
aiz_145,,
aiz_146,,
aiz_147,,
aiz_148,,
aiz_149,,
aiz_150,,
aiz_151,,
aiz_152,,
aiz_153,,
aiz_154,,
aiz_155,,
aiz_156,,
aiz_157,,
aiz_158,,
aiz_159,,
aiz_160,,
aiz_161,,
aiz_162,,
aja_000,D,False
aja_001,D,False
aja_002,D,False
aja_003,D,False
aja_004,D,False
aja_005,D,False
aja_006,D,False
aja_007,D,False
aja_008,D,False
aja_009,D,False
aja_010,D,False
aja_011,D,False
aja_012,D,False
aja_013,D,False
aja_014,D,False
aja_015,D,False
aja_016,D,False
aja_017,D,False
aja_018,D,False
aja_019,D,False
aja_020,D,False
aja_021,D,False
aja_022,B,True
aja_023,B,True
aja_024,B,True
aja_025,B,True
aja_026,B,True
aja_027,B,True
aja_028,B,True
aja_029,B,True
aja_030,B,True
aja_031,B,True
aja_032,B,True
aja_033,B,True
aja_034,B,True
aja_035,B,True
aja_036,B,True
aja_037,B,True
aja_038,B,True
aja_039,B,True
aja_040,B,True
aja_041,B,True
aja_042,B,True
aja_043,B,True
aja_044,B,True
aja_045,B,True
aja_046,B,True
aja_047,B,True
aja_048,B,True
aja_049,B,True
aja_050,B,True
aja_051,B,True
aja_052,B,True
aja_053,B,True
aja_054,B,True
aja_055,B,True
aja_056,B,True
aja_057,B,True
aja_058,B,True
aja_059,B,True
aja_060,B,True
aja_061,B,True
aja_062,B,True
aja_063,B,True
aja_064,B,True
aja_065,B,True
aja_066,B,True
aja_067,B,True
aja_068,B,True
aja_069,B,True
aja_070,B,True
aja_071,B,True
aja_072,B,True
aja_073,B,True
aja_074,B,True
aja_075,B,True
aja_076,B,True
aja_077,B,True
aja_078,B,True
aja_079,B,True
aja_080,B,True
aja_081,B,True
aja_082,B,True
aja_083,B,True
aja_084,B,True
aja_085,B,True
aja_086,B,True
aja_087,B,True
aja_088,B,True
aja_089,B,True
aja_090,B,True
aja_091,B,True
aja_092,B,True
aja_093,B,True
aja_094,B,True
aja_095,B,True
aja_096,B,True
aja_097,B,True
aja_098,B,True
aja_099,B,True
aja_100,B,True
aja_101,B,True
aja_102,B,True
aja_103,B,True
aja_104,B,True
aja_105,B,True
aja_106,B,True
aja_107,B,True
aja_108,B,True
aja_109,B,True
aja_110,B,True
aja_111,B,True
aja_112,B,True
aja_113,B,True
aja_114,B,True
aja_115,B,True
aja_116,B,True
aja_117,B,True
aja_118,B,True
aja_119,B,True
aja_120,B,True
aja_121,B,True
aja_122,B,True
aja_123,B,True
aja_124,B,True
aja_125,B,True
aja_126,B,True
aja_127,B,True
aja_128,B,True
aja_129,B,True
aja_130,B,True
aja_131,B,True
aja_132,B,True
aja_133,B,True
aja_134,B,True
aja_135,B,True
aja_136,B,True
aja_137,B,True
aja_138,B,True
aja_139,B,True
aja_140,B,True
aja_141,B,True
aja_142,B,True
aja_143,B,True
aja_144,B,True
aja_145,B,True
aja_146,B,True
aja_147,B,True
aja_148,B,True
aja_149,B,True
aja_150,B,True
aja_151,B,True
aja_152,B,True
aja_153,B,True
aja_154,B,True
aja_155,B,True
aja_156,B,True
aja_157,B,True
aja_158,B,True
aja_159,B,True
aja_160,B,True
aja_161,B,True
aja_162,B,True
aja_163,B,True
aja_164,B,True
aja_165,B,True
aja_166,B,True
aja_167,B,True
aja_168,B,True
aja_169,B,True
aja_170,B,True
aja_171,B,True
aja_172,B,True
aja_173,B,True
aja_174,B,True
aja_175,B,True
aja_176,B,True
aja_177,B,True
aja_178,B,True
aja_179,B,True
aja_180,B,True
aja_181,B,True
aja_182,B,True
aja_183,B,True
aja_184,B,True
aja_185,B,True
aja_186,B,True
aja_187,B,True
aja_188,B,True
aja_189,B,True
aja_190,B,True
aja_191,B,True
aja_192,B,True
aja_193,B,True
aja_194,B,True
aja_195,B,True
aja_196,B,True
aja_197,B,True
aja_198,B,True
aja_199,B,True
aja_200,B,True
aja_201,B,True
aja_202,B,True
aja_203,B,True
aja_204,B,True
aja_205,B,True
